Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belarus,BLR,0.0,0.88913,0.97109,1.01619,1.02577,1.00123,0.99959,1.01993,1.00684,0.96163,0.8855,0.83254,0.8019,0.74058,0.6494,0.52895,0.46863,0.55102,0.65305,0.61751,0.61372,0.6924,0.67741,0.68301,0.67838,0.65376,0.67939,0.67481,0.28641,0.29542,0.18665,0.04906,0.21558,0.22488,-0.11727,-0.3232,-0.33409,-0.42413,-0.47558,-0.42061,-0.47113,-0.51297,-0.63657,-0.69981,-0.68217,-0.68301,-0.6123,-0.45885,-0.34542,-0.22296,-0.17036,-0.18362,-0.09164,0.01587,0.0899,0.1593,0.12551
Belize,BLZ,0.0,2.82617,2.79162,2.81469,2.85898,2.91624,2.99652,3.01321,2.94575,2.71985,2.41974,2.11446,1.87111,1.67214,1.54492,1.4764,1.4061,1.35376,1.43215,1.66986,1.99684,2.33864,2.63101,2.81287,2.86259,2.81264,2.77875,2.76387,2.66495,2.45035,2.20104,1.88872,1.65835,1.68292,2.03262,2.58578,3.18647,3.6379,3.83559,3.72737,3.42495,3.08477,2.82756,2.65038,2.59352,2.60445,2.61834,2.6074,2.57439,2.52058,2.45147,2.38191,2.32353,2.25688,2.18896,2.1188,2.0477
Bolivia,BOL,0.0,1.94996,1.96572,1.98393,2.00506,2.0288,2.04985,2.06842,2.08893,2.112,2.13589,2.15624,2.17298,2.18702,2.19822,2.20606,2.21538,2.22015,2.20731,2.17416,2.12854,2.07794,2.03716,2.01698,2.02416,2.04914,2.07669,2.09702,2.11141,2.11719,2.1159,2.11319,2.10935,2.09946,2.08325,2.06176,2.0379,2.0131,1.9871,1.96052,1.93343,1.90577,1.87708,1.84732,1.8161,1.78425,1.75162,1.71993,1.69108,1.66611,1.6436,1.62246,1.6,1.5746,1.54497,1.51292,1.48013
Brazil,BRA,0.0,2.91113,2.92144,2.90879,2.86801,2.80849,2.74812,2.69317,2.63576,2.57699,2.51973,2.46087,2.40858,2.37506,2.36446,2.36891,2.37306,2.37118,2.36953,2.36686,2.36048,2.3552,2.34185,2.30566,2.24179,2.15994,2.07396,1.99482,1.92323,1.86296,1.81152,1.75942,1.70734,1.66486,1.63379,1.60972,1.58884,1.56372,1.52896,1.48111,1.42417,1.36696,1.31274,1.25738,1.20129,1.14588,1.0902,1.03786,0.99431,0.96195,0.93796,0.91596,0.89353,0.8736,0.85579,0.83885,0.82375
Barbados,BRB,0.0,0.319,0.3941,0.42766,0.40836,0.35192,0.28632,0.24157,0.24562,0.30051,0.39467,0.50022,0.59011,0.64138,0.64587,0.61533,0.57885,0.5454,0.50727,0.45778,0.4141,0.35753,0.30904,0.27748,0.27788,0.29936,0.32881,0.35409,0.3706,0.3777,0.37589,0.37067,0.37386,0.37512,0.38543,0.40012,0.4105,0.42523,0.42752,0.41313,0.39265,0.36212,0.33887,0.33008,0.34752,0.37672,0.41676,0.43979,0.44608,0.4128,0.36468,0.30295,0.25164,0.20986,0.1859,0.17504,0.16529
Brunei Darussalam,BRN,0.0,4.61628,4.47851,4.43628,4.46581,4.57027,4.66363,4.71046,4.7329,4.72307,4.68542,4.6328,4.57491,4.46838,4.32238,4.13955,3.97558,3.81096,3.64786,3.47044,3.29009,3.11881,2.97693,2.8753,2.83528,2.8351,2.84012,2.83832,2.83897,2.84534,2.84743,2.85352,2.84484,2.80414,2.72212,2.61195,2.49558,2.37969,2.27738,2.18989,2.10965,2.04077,1.96507,1.86014,1.723,1.56818,1.40039,1.26191,1.18137,1.17513,1.22712,1.28898,1.33751,1.35226,1.31372,1.24608,1.1724
Bhutan,BTN,0.0,2.46087,2.46147,2.51299,2.64269,2.80681,2.97659,3.11491,3.20323,3.2324,3.22136,3.19056,3.16579,3.15461,3.16159,3.18187,3.20001,3.20152,3.15308,3.04935,2.91267,2.72409,2.55561,2.5067,2.61521,2.79354,3.05997,3.21095,3.03415,2.45021,1.63824,0.71858,-0.0217,-0.35985,-0.13133,0.51064,1.27222,1.87423,2.27017,2.36455,2.24836,2.11264,2.02982,1.90076,1.73311,1.54156,1.32774,1.12927,1.00817,0.99413,1.05293,1.1307,1.18793,1.22609,1.23391,1.21915,1.20623
Botswana,BWA,0.0,1.95785,2.14063,2.24784,2.24972,2.18826,2.115,2.09825,2.17698,2.37595,2.64984,2.92503,3.15915,3.36361,3.53156,3.65999,3.78836,3.89095,3.91208,3.84226,3.72069,3.56001,3.43004,3.39542,3.48324,3.6313,3.79413,3.88098,3.83584,3.63436,3.34033,3.02854,2.76848,2.57418,2.46726,2.41915,2.39131,2.34449,2.272,2.16198,2.0329,1.88938,1.77342,1.73053,1.77889,1.88251,2.02649,2.13142,2.11978,1.95704,1.70572,1.41399,1.1911,1.12066,1.25644,1.52531,1.83285
Central African Republic,CAF,0.0,1.61167,1.67932,1.75396,1.83481,1.91428,2.01128,2.08701,2.07927,1.96807,1.79854,1.60884,1.47046,1.43896,1.54667,1.7503,1.95421,2.1257,2.31352,2.51236,2.69957,2.91638,3.08261,3.07737,2.86778,2.54117,2.16323,1.87166,1.76506,1.90314,2.19731,2.52509,2.76587,2.8947,2.87558,2.75719,2.62083,2.5134,2.41878,2.34665,2.28985,2.2165,2.12949,2.05786,2.0073,1.96317,1.95402,1.92262,1.77912,1.49252,1.12658,0.72383,0.40156,0.25949,0.36429,0.6474,0.98589
Canada,CAN,0.0,2.00112,1.85989,1.86285,1.88571,1.81017,1.86281,1.79936,1.61341,1.35978,1.39783,2.94819,1.16085,1.22262,1.39602,1.45942,1.31581,1.17026,0.99546,0.9897,1.28959,1.2334,1.18962,0.98849,0.94403,0.91377,0.99404,1.31817,1.29662,1.79419,1.50766,1.24276,1.18368,1.09893,1.09526,1.03477,1.04531,0.99379,0.82991,0.81284,0.93128,1.08635,1.08745,0.90137,0.93302,0.94447,1.01033,0.97114,1.08291,1.14176,1.11186,0.9787,1.08582,1.05659,1.00534,0.74634,1.13235
